NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00241 930513  597.000 1412.000  523.000 10590.000      15663        0
00242 930514  889.000 1016.000  596.000 11914.000      10487        0
00243 930517  854.000 1073.000  610.000 9505.000      10689        0
00244 930518  833.000 1082.000  624.000 12545.000      10801        0
00245 930519 1196.000  761.000  590.000 23809.000       7060        0
00246 930520 1130.000  775.000  626.000 16659.000       7802        0
00247 930521  797.000 1134.000  603.000 7404.000      16972        0
00248 930524  950.000  992.000  572.000 10569.000       6703        0
00249 930525 1127.000  795.000  604.000 12472.000       7013        0
00250 930526 1264.000  654.000  614.000 17392.000       6705        0
00251 930527  923.000  998.000  610.000 11888.000      11589        0
00252 930528  825.000 1014.000  680.000 7092.000       9275        0
00253 930601 1231.000  712.000  592.000 13670.000       5536        0
00254 930602 1007.000  902.000  625.000 11542.000      10929        0
00255 930603  881.000 1000.000  652.000 12566.000      11746        0
00256 930604  744.000 1199.000  594.000 6783.000      13333        0
00257 930607  771.000 1149.000  621.000 6234.000      14414        0
00258 930608  621.000 1334.000  617.000 5424.000      15736        0
00259 930609 1038.000  887.000  635.000 11139.000       8872        0
00260 930610  796.000 1044.000  688.000 8158.000      11761        0
00261 930611 1068.000  815.000  654.000 13266.000       8535        0
00262 930614  946.000  960.000  646.000 9732.000       8308        0
00263 930615  997.000  922.000  635.000 9036.000      10240        0
00264 930616  984.000  897.000  684.000 11017.000       9875        0
00265 930617  994.000  881.000  669.000 10526.000       8579        0
00266 930618  693.000 1218.000  646.000 6460.000      19322        0
00267 930621 1119.000  837.000  624.000 11281.000       7761        0
00268 930622  949.000  959.000  660.000 9625.000      12471        0
00269 930623  845.000 1073.000  643.000 9443.000      14530        0
00270 930624 1139.000  771.000  640.000 15398.000       6335        0
00271 930625 1076.000  767.000  684.000 11577.000       6111        0
00272 930628 1375.000  586.000  592.000 16144.000       5628        0
00273 930629  970.000  979.000  615.000 13782.000      10626        0
00274 930630 1125.000  830.000  603.000 13468.000      11304        0
00275 930701 1185.000  825.000  562.000 12910.000      11828        0
00276 930702  826.000 1083.000  639.000 5329.000      11965        0
00277 930706  856.000 1128.000  581.000 7279.000      12960        0
00278 930707 1016.000  908.000  658.000 11509.000       9542        0
00279 930708 1292.000  725.000  577.000 18329.000       7147        0
00280 930709 1075.000  845.000  648.000 10293.000       9005        0
00281 930712 1027.000  898.000  640.000 10203.000       7232        0
00282 930713  983.000  953.000  646.000 10008.000      10424        0
00283 930714 1224.000  792.000  590.000 15939.000       9489        0
00284 930715  948.000 1013.000  606.000 10806.000      11251        0
00285 930716  905.000 1024.000  664.000 7270.000      16292        0
00286 930719  852.000 1070.000  667.000 8410.000      10115        0
00287 930720  877.000 1064.000  649.000 12522.000      11149        0
00288 930721  923.000 1051.000  620.000 10843.000      11588        0
00289 930722  767.000 1208.000  612.000 7881.000      14357        0
00290 930723 1026.000  865.000  707.000 11397.000       6663        0
00291 930726 1214.000  776.000  603.000 13466.000       6235        0
00292 930727  855.000 1054.000  669.000 9429.000      12596        0
00293 930728  924.000  975.000  684.000 10376.000      13032        0
00294 930729 1249.000  740.000  617.000 15457.000       7871        0
00295 930730  926.000  999.000  653.000 10195.000      11533        0
00296 930802 1188.000  795.000  616.000 13246.000       6283        0
00297 930803 1051.000  920.000  626.000 10559.000      10247        0
00298 930804  969.000  938.000  665.000 10593.000       9418        0
00299 930805  896.000 1055.000  634.000 8832.000      13665        0
00300 930806  983.000  876.000  727.000 11191.000       7398        0
00301 930809 1210.000  804.000  601.000 13994.000       6684        0
00302 930810 1002.000  949.000  651.000 11996.000      10483        0
00303 930811 1059.000  885.000  650.000 12290.000      11520        0
00304 930812  849.000 1075.000  703.000 9890.000      14349        0
00305 930813 1028.000  860.000  693.000 10237.000       7873        0
00306 930816 1161.000  793.000  647.000 12880.000       6862        0
00307 930817 1020.000  922.000  668.000 14308.000       8575        0
00308 930818 1263.000  772.000  592.000 18904.000       8891        0
00309 930819  983.000  979.000  645.000 13970.000      10908        0
00310 930820 1006.000  959.000  675.000 11877.000      12172        0
00311 930823  935.000 1032.000  653.000 8529.000       9573        0
00312 930824 1301.000  698.000  608.000 17412.000       5684        0
00313 930825 1108.000  865.000  630.000 15209.000      11030        0
00314 930826 1029.000  914.000  671.000 12122.000       9614        0
00315 930827  910.000  988.000  711.000 7152.000       9520        0
00316 930830 1120.000  780.000  710.000 9487.000       6737        0
00317 930831 1192.000  788.000  649.000 12643.000       7477        0
00318 930901 1019.000  939.000  643.000 10901.000       9691        0
00319 930902  945.000 1033.000  646.000 9935.000      13362        0
00320 930903 1019.000  890.000  716.000 8378.000       8536        0
00321 930907  763.000 1239.000  615.000 6077.000      14723        0
00322 930908  606.000 1430.000  606.000 6835.000      17530        0
00323 930909 1130.000  877.000  619.000 15577.000       7116        0
00324 930910 1322.000  676.000  621.000 18094.000       6104        0
00325 930913 1057.000  969.000  604.000 10094.000      11463        0
